,Genus_Organism,Current_name_reviewed_AA,strain,ITS,TEF,TUB,rpb2,MAT1,MAT2,Genus_Host,Species_Host,Country,Title
34,Botryosphaeria,Botryosphaeria corticis,ATCC22928,DQ299248,EF614932,NA,NA,NA,NA,Vaccinium,Vaccinium sp.,United States of America,Fungal associates of Asphondylia midge galls
35,Botryosphaeria,Botryosphaeria corticis,CBS119048,DQ299246,EU017540,NA,NA,NA,NA,Vaccinium,Vaccinium corymbosum,United States of America,"Morphology, phylogeny and pathogenicity of Botryosphaeria and Neofusicoccum species associated with drupe rot of olives in southern Italy"
36,Botryosphaeria,Botryosphaeria corticis,96_125,AF243397,NA,NA,NA,NA,NA,Vaccinium,Vaccinium sp.,NA,Relationships among Botryosphaeria species and associated anamorphic fungi inferred from the analyses of ITS and 5.8S rDNA sequences
37,Botryosphaeria,Botryosphaeria corticis,CBS119047,DQ299245,EU017539,EU673107,NA,NA,NA,Vaccinium,Vaccinium corymbosum,United States of America,Resolving the phylogenetic and taxonomic status of dark-spored teleomorph genera in the Botryosphaeriaceae
38,Botryosphaeria,Botryosphaeria corticis,SENC96b,JN607083,JN607106,JN607129,NA,NA,NA,Vaccinium,Vaccinium corymbosum,United States of America,"Taxonomy, phylogeny and identification of fungi in Botryosphaeriaceae causing stem blight and dieback of Vaccinium spp. in the southeastern United States"
39,Botryosphaeria,Botryosphaeria dothidea,CMW25689,NA,FM955407,NA,NA,NA,NA,Acer,Acer platanoides,Slovenia,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
40,Botryosphaeria,Botryosphaeria dothidea,CMW26223,NA,FM955408,NA,NA,NA,NA,Acer,Acer platanoides,Slovenia,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
41,Botryosphaeria,Botryosphaeria dothidea,A1_1,NA,MH754915,NA,NA,NA,NA,Arctostaphylos,Arctostaphylos glauca,United States of America,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California
42,Botryosphaeria,Botryosphaeria dothidea,B3_1,NA,MH754919,NA,NA,NA,NA,Arctostaphylos,Arctostaphylos glauca,United States of America,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California
43,Botryosphaeria,Botryosphaeria dothidea,B8_1A,NA,MH754921,NA,NA,NA,NA,Arctostaphylos,Arctostaphylos glauca,United States of America,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California
44,Botryosphaeria,Botryosphaeria dothidea,F8_2,NA,MH754923,NA,NA,NA,NA,Arctostaphylos,Arctostaphylos glauca,United States of America,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California
45,Botryosphaeria,Botryosphaeria dothidea,SX03,NA,MN598070,MN370930,NA,NA,NA,Berberis,Berberis fortunei,China,First Report of Marginal Leaf Necrosis on Mahonia fortunei Caused by Botryosphaeria dothidea in China
46,Botryosphaeria,Botryosphaeria dothidea,F216,NA,MH399256,NA,NA,NA,NA,Coleostephus,Coleostephus myconis,Portugal,Direct Submission
47,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF1,NA,MN548711,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
48,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF2,NA,MN548712,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
49,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF3,NA,MN548713,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
50,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF5,NA,MN548714,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
51,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF7,NA,MN548715,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
52,Botryosphaeria,Botryosphaeria dothidea,RNHM_KBF8,NA,MN548716,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
53,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF9,NA,MN548717,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
54,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF10,NA,MN548718,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
55,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF11,NA,MN548719,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
56,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF12,NA,MN548720,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
57,Botryosphaeria,Botryosphaeria dothidea,RNHM_KBF13,NA,MN548721,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
58,Botryosphaeria,Botryosphaeria dothidea,RNHM_KBF16,NA,MN548722,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
59,Botryosphaeria,Botryosphaeria dothidea,RNHM_KBF20,NA,MN548723,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
60,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF21,NA,MN548724,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
61,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF22,NA,MN548725,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
62,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KBF23,NA,MN548726,NA,NA,NA,NA,Corylus,Corylus avellana,"Iran, Islamic Republic of",Branch canker of hazelnut trees caused by Botryosphaeria dothidea in Iran
63,Botryosphaeria,Botryosphaeria dothidea,CMW25692,NA,FM955409,NA,NA,NA,NA,Cotinus,Cotinus coggygria,Slovenia,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
64,Botryosphaeria,Botryosphaeria dothidea,QFS19,NA,MK722179,MK720626,NA,NA,NA,Cotinus,Cotinus coggygria,China,First report of Botryosphaeria dothidea causing on Cotinus coggygria in China
65,Botryosphaeria,Botryosphaeria dothidea,M3984/2k,EF446291,NA,NA,NA,NA,NA,Homo,Homo sapiens,NA,Newer emerging pathogens of ocular non-sporulating molds (NSM) identified by polymerase chain reaction (PCR)-based DNA sequencing technique targeting internal transcribed spacer (ITS) region
66,Botryosphaeria,Botryosphaeria dothidea,ZJTL,NA,MK704425,MK704424,NA,NA,NA,Machilus,Machilus thunbergii,China,First Report of Shoot Canker and Leaf Blight Caused by Botryosphaeria dothidea on Machilus thunbergii in Zhejiang Province of China
67,Botryosphaeria,Botryosphaeria dothidea,MVAP06369578,NA,KY552669,NA,NA,NA,NA,Malosma,Malosma laurina,United States of America,"Pathophysiology of Malosma laurina dieback during unprecedented drought in California and its association with the canker fungus, Botryosphaeria dothidea"
68,Botryosphaeria,Botryosphaeria dothidea,STEU_8297,NA,KY312606,NA,NA,NA,NA,Malus,Malus pumila,South Africa,Canker and wood rot pathogens found on apple trees in South Africa
69,Botryosphaeria,Botryosphaeria dothidea,STEU_8298,NA,KY312607,NA,NA,NA,NA,Malus,Malus pumila,South Africa,Canker and wood rot pathogens found on apple trees in South Africa
70,Botryosphaeria,Botryosphaeria dothidea,BSERBrookfield,NA,AB970988,NA,NA,NA,NA,NA,NA,Australia,Phylogenetic relationship of dendritic spot and stem end rot fungi
71,Botryosphaeria,Botryosphaeria dothidea,3319/CT/1,NA,EU686574,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
72,Botryosphaeria,Botryosphaeria dothidea,3319/CT/2,NA,EU686575,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
73,Botryosphaeria,Botryosphaeria dothidea,3319/CT/3,NA,EU686576,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
74,Botryosphaeria,Botryosphaeria dothidea,3318/1,NA,EU686577,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
75,Botryosphaeria,Botryosphaeria dothidea,3318/4,NA,EU686578,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
76,Botryosphaeria,Botryosphaeria dothidea,3319/FT/3,NA,EU686579,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
77,Botryosphaeria,Botryosphaeria dothidea,3319/FT/4,NA,EU686580,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
78,Botryosphaeria,Botryosphaeria dothidea,3320/M/#,NA,EU686581,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
79,Botryosphaeria,Botryosphaeria dothidea,3320/M/8,NA,EU686582,NA,NA,NA,NA,NA,NA,Australia,Fungal associates of Asphondylia midge galls
80,Botryosphaeria,Botryosphaeria dothidea,sdxf,NA,MG149784,NA,NA,NA,NA,NA,NA,NA,Direct Submission
81,Botryosphaeria,Botryosphaeria dothidea,Torbali_5/1_1,NA,MG816210,NA,NA,NA,NA,NA,NA,NA,Direct Submission
82,Botryosphaeria,Botryosphaeria dothidea,Kusadasi6/1_1,NA,MG816213,NA,NA,NA,NA,Olea,Olea europaea,Turkey,Determining The Factors of Fruit Rotting and Their Impacts on Some Quality Parameters of Olive Grown In Western Anatolia
83,Botryosphaeria,Botryosphaeria dothidea,CMW26222,NA,FM955410,NA,NA,NA,NA,Ostrya,Ostrya carpinifolia,Italy,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
84,Botryosphaeria,Botryosphaeria dothidea,CMW26224,NA,FM955411,NA,NA,NA,NA,Ostrya,Ostrya carpinifolia,Slovenia,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
85,Botryosphaeria,Botryosphaeria dothidea,CMW25710,NA,FM955412,NA,NA,NA,NA,Ostrya,Ostrya carpinifolia,Slovenia,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
86,Botryosphaeria,Botryosphaeria dothidea,CMW25696,NA,FM955413,NA,NA,NA,NA,Ostrya,Ostrya carpinifolia,Slovenia,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
87,Botryosphaeria,Botryosphaeria dothidea,CMW25686,NA,FM955414,NA,NA,NA,NA,Ostrya,Ostrya carpinifolia,Italy,"Identity, diversity and pathogenicity of Botryosphaeria dothidea and Dothiorella sp. nov. causing die-back of Ostrya carpinifolia in Slovenia and Italy following recent extreme weather conditions"
88,Botryosphaeria,Botryosphaeria dothidea,BDPIS2,NA,KP128065,NA,NA,NA,NA,Pistacia,Pistacia vera,"Iran, Islamic Republic of",Fungal trunk pathogens associated with wood decay of pistachio trees in Iran
89,Botryosphaeria,Botryosphaeria dothidea,BF7,NA,KP128066,NA,NA,NA,NA,Pistacia,Pistacia vera,"Iran, Islamic Republic of",Fungal trunk pathogens associated with wood decay of pistachio trees in Iran
90,Botryosphaeria,Botryosphaeria dothidea,CMW991,NA,AY236895,AY236924,NA,NA,NA,Populus,Populus nigra,New Zealand,Combined multiple gene genealogies and phenotypic characters differentiate several species previously identified as Botryosphaeria dothidea
91,Botryosphaeria,Botryosphaeria dothidea,EJp50,NA,KC961075,NA,NA,NA,NA,Populus,Populus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
92,Botryosphaeria,Botryosphaeria dothidea,CZA,NA,MN025271,NA,NA,NA,NA,Populus,Populus sp.,China,Fungal canker pathogens trigger carbon starvation by inhibiting carbon metabolism in poplar stems
93,Botryosphaeria,Botryosphaeria dothidea,CZB,NA,MN025272,NA,NA,NA,NA,Populus,Populus sp.,China,Fungal canker pathogens trigger carbon starvation by inhibiting carbon metabolism in poplar stems
94,Botryosphaeria,Botryosphaeria dothidea,CFCC53768,NA,MN205990,NA,NA,NA,NA,Prunus,Prunus sibirica,China,"Diplodia quercicola, sp. nov., and Phaeobotryon aplospora, sp. nov (Botryosphaeriales, Ascomycota) associated with canker and dieback of trees in Mount Yudu of China"
95,Botryosphaeria,Botryosphaeria dothidea,SDAU08_82,NA,FJ265872,FJ358696,NA,NA,NA,Punica,Punica granatum,China,Pomegranate stem rot caused by Botryosphaeria dothidea in China
96,Botryosphaeria,Botryosphaeria dothidea,LJF2111,NA,KC961045,NA,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
97,Botryosphaeria,Botryosphaeria dothidea,MD2111,NA,KC961049,KC961006,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
98,Botryosphaeria,Botryosphaeria dothidea,MJ2311,NA,KC961050,KC961007,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
99,Botryosphaeria,Botryosphaeria dothidea,JSC1211,NA,KC961052,KC961010,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
100,Botryosphaeria,Botryosphaeria dothidea,EL22511,NA,KC961058,NA,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
101,Botryosphaeria,Botryosphaeria dothidea,JNT1111,NA,KC961073,NA,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
102,Botryosphaeria,Botryosphaeria dothidea,DL1821,NA,KC961074,KC961028,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
103,Botryosphaeria,Botryosphaeria dothidea,PCF_2025,NA,MF166618,NA,NA,NA,NA,Pyrus,Pyrus communis,Belgium,First Report of Botryosphaeria dothidea in Belgium causing fruit rot on pear
104,Botryosphaeria,Botryosphaeria dothidea,PCF_2026,NA,MF166619,NA,NA,NA,NA,Pyrus,Pyrus communis,Belgium,First Report of Botryosphaeria dothidea in Belgium causing fruit rot on pear
105,Botryosphaeria,Botryosphaeria dothidea,UCROK750,NA,JQ512104,NA,NA,NA,NA,Quercus,Quercus agrifolia,United States of America,Identification and pathogenicity of Botryosphaeriaceae species associated with coast live oak (Quercus agrifolia) decline in southern California
106,Botryosphaeria,Botryosphaeria dothidea,FCQM,NA,MH325938,NA,NA,NA,NA,Vatica,Vatica mangachapoi,China,First Report of Botryosphaeria dothidea Causing Dieback of Vatica mangachapoi in Anhui Province of China
107,Botryosphaeria,Botryosphaeria dothidea,BB178_1,NA,HQ392749,HQ392748,NA,NA,NA,Vitis,Vitis vinifera,Australia,Botryosphaeriaceae fungi normally associated with diseases of grapevine wood are pathogens of the reproductive structures in Vitis vinifera cultivars 'Chardonnay' and 'Shiraz'
108,Botryosphaeria,Botryosphaeria dothidea,HNZs_2,NA,JF441074,JF441078,NA,NA,NA,Vitis,Vitis vinifera,NA,Direct Submission
109,Botryosphaeria,Botryosphaeria dothidea,Sxg01s1,NA,JX462282,NA,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
110,Botryosphaeria,Botryosphaeria dothidea,AH_3_2_01s,NA,JX462284,JX462258,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
111,Botryosphaeria,Botryosphaeria dothidea,GX_5_1_1_03s,NA,JX462287,JX462261,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
112,Botryosphaeria,Botryosphaeria dothidea,T236,NA,KF923345,NA,NA,NA,NA,Vitis,Vitis vinifera,Croatia,"Identification, pathogenicity and distribution of fungal species from Botryosphaeriaceae on grapevine in Croatia"
113,Botryosphaeria,Botryosphaeria dothidea,MBAi48AG,NA,KP721651,KP721689,NA,NA,NA,Vitis,Vitis vinifera,Turkey,"Fungal Trunk Pathogens of Sultana Seedless Vineyards in Manisa and Izmir (Aegean Region), Turkey"
114,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KB20_1,NA,KU720067,NA,NA,NA,NA,Vitis,Vitis vinifera,"Iran, Islamic Republic of","Isolation, identification and comparison of fungal flora associated with healthy and diseased grapevines in Yazd Province (Iran)"
115,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KB20_2,NA,KU720068,NA,NA,NA,NA,Vitis,Vitis vinifera,"Iran, Islamic Republic of","Isolation, identification and comparison of fungal flora associated with healthy and diseased grapevines in Yazd Province (Iran)"
116,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KB18,NA,KU720069,NA,NA,NA,NA,Vitis,Vitis vinifera,"Iran, Islamic Republic of","Isolation, identification and comparison of fungal flora associated with healthy and diseased grapevines in Yazd Province (Iran)"
117,Botryosphaeria,Botryosphaeria dothidea,IRNHM_KB53,NA,KU720071,NA,NA,NA,NA,Vitis,Vitis vinifera,"Iran, Islamic Republic of","Isolation, identification and comparison of fungal flora associated with healthy and diseased grapevines in Yazd Province (Iran)"
118,Botryosphaeria,Botryosphaeria dothidea,CMW39309,KF729118,NA,NA,NA,NA,NA,Abies,Abies concolor,Serbia,New and unexpected host associations for Diplodia sapinea in the Western Balkans
119,Botryosphaeria,Botryosphaeria dothidea,BOT53,KF729146,NA,NA,NA,NA,NA,Abies,Abies concolor,Serbia,New and unexpected host associations for Diplodia sapinea in the Western Balkans
120,Botryosphaeria,Botryosphaeria dothidea,B5,DQ198265,NA,NA,NA,NA,NA,Acer,Acer pseudoplatanus,Italy,"First report of Botryosphaeria dothidea on Sycamore, Red Oak, and English Oak in Northwestern Italy"
121,Botryosphaeria,Botryosphaeria dothidea,CMW39299,KF729166,NA,NA,NA,NA,NA,Aesculus,Aesculus hippocastanum,Serbia,New and unexpected host associations for Diplodia sapinea in the Western Balkans
122,Botryosphaeria,Botryosphaeria dothidea,A2_50_1_1_My,KM044083,NA,NA,NA,NA,NA,Ailanthus,Ailanthus altissima,Switzerland,Fast growing neophytic trees in Southern Switzerland
123,Botryosphaeria,Botryosphaeria dothidea,MFLUCC16_1312,MT177923,NA,NA,NA,NA,NA,Apiaceae,Torilis arvensis,Italy,Taxonomy and phylogeny of hyaline-spored coelomycetes
124,Botryosphaeria,Botryosphaeria dothidea,A6_2,MH776992,MH754916,NA,NA,NA,NA,Arctostaphylos,Arctostaphylos glauca,United States of America,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California
125,Botryosphaeria,Botryosphaeria dothidea,B1_1,MH776994,MH754917,NA,NA,NA,NA,Arctostaphylos,Arctostaphylos glauca,United States of America,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California
126,Botryosphaeria,Botryosphaeria dothidea,MKZ66,FJ441641,NA,NA,NA,NA,NA,Bruguiera,Bruguiera gymnorhiza,NA,Direct Submission
